Recipe Name|Recipe Cost|Number of Servings|Flavor Tags|||
Red Beans and Rice|$6.65|4|spicy zesty smoky||
Red Beans and Rice -- Required Ingredients| | | | | | 
Ingredient Id|Ingredient Name|Price Per Container|Number of Units in All Recipes|Unit of Measure|Units Per Container|Expiration Date
1|Smoked Sausage|4.5|2|lbs|1|01/21/2023
Ingredient Id|Ingredient Name|Price Per Container|Number of Units in All Recipes|Unit of Measure|Units Per Container|Expiration Date
2|Red Kidney Beans|2.0|2|can|1|02/2024
Ingredient Id|Ingredient Name|Price Per Container|Number of Units in All Recipes|Unit of Measure|Units Per Container|Expiration Date
3|Long Grain Rice|3.0|2|quarter cup|20|03/2025
 | | | | | | 
Recipe Name|Recipe Cost|Number of Servings|Flavor Tags| | | 
Jambalaya|$4.65|4|zesty meaty hearty||
Jambalaya -- Required Ingredients| | | | | | 
Ingredient Id|Ingredient Name|Price Per Container|Number of Units in All Recipes|Unit of Measure|Units Per Container|Expiration Date
1|Smoked Sausage|4.5|2|lbs|1|01/21/2023
Ingredient Id|Ingredient Name|Price Per Container|Number of Units in All Recipes|Unit of Measure|Units Per Container|Expiration Date
3|Long Grain Rice|3.0|2|quarter cup|20|03/2025
 | | | | | | 
Recipe Name|Recipe Cost|Number of Servings|Flavor Tags| | | 
15 Bean Soup|$2.00|4|hammy rich hearty||
15 Bean Soup -- Required Ingredients| | | | | | 
Ingredient Id|Ingredient Name|Price Per Container|Number of Units in All Recipes|Unit of Measure|Units Per Container|Expiration Date
2|Red Kidney Beans|2.0|2|can|1|02/2024
 | | | | | | 
